"название";"дата";"время";" размер"
"ald-0.1.7.tgz";"25-Feb-2016";"02:11";"     68K"
"alephone-1.2.1.tgz";"25-Feb-2016";"02:11";"      3M"
"alex-3.1.4.tgz";"25-Feb-2016";"02:11";"    729K"
"algotutor-0.8.6p1.tgz";"25-Feb-2016";"02:11";"    165K"
"allegro-4.2.3p3.tgz";"25-Feb-2016";"02:11";"      2M"
"alpine-2.20.tgz";"25-Feb-2016";"02:11";"      3M"
"alpng-1.3p0.tgz";"25-Feb-2016";"02:11";"     22K"
"altermime-0.3.10.tgz";"25-Feb-2016";"02:11";"     44K"
"amap-5.4p0.tgz";"25-Feb-2016";"02:11";"     79K"
"amarok-1.4.10p25.tgz";"25-Feb-2016";"02:11";"     13M"
"amavisd-new-2.10.1p2.tgz";"25-Feb-2016";"02:11";"    893K"
"amavisd-new-utils-2.10.1p2.tgz";"25-Feb-2016";"02:11";"     59K"
"amide-1.0.5p4.tgz";"25-Feb-2016";"02:11";"    911K"
"amoebax-0.2.1p0.tgz";"25-Feb-2016";"02:11";"      9M"
"amor-4.14.3p1.tgz";"25-Feb-2016";"02:11";"    311K"
"amph-0.8.10p3.tgz";"25-Feb-2016";"02:11";"   1006K"
"amsn-0.98.9p4.tgz";"25-Feb-2016";"02:11";"     13M"
"amtterm-1.4.tgz";"25-Feb-2016";"02:11";"     29K"
"amtterm-cli-1.4.tgz";"25-Feb-2016";"02:11";"     10K"
"amule-2.3.1p20.tgz";"25-Feb-2016";"02:11";"      5M"
"amuled-2.3.1p19.tgz";"25-Feb-2016";"02:11";"      1M"
"amuleweb-2.3.1p19.tgz";"25-Feb-2016";"02:11";"    560K"
"an-0.95.tgz";"25-Feb-2016";"02:11";"     11K"
"anacron-2.5.3p0.tgz";"25-Feb-2016";"02:11";"     18K"
"analitza-4.14.3p0.tgz";"25-Feb-2016";"02:11";"    756K"
"analog-6.0p4.tgz";"25-Feb-2016";"02:11";"    707K"
"angband-3.3.2p1-no_x11.tgz";"25-Feb-2016";"02:11";"    792K"
"angband-3.3.2p1-sdl.tgz";"25-Feb-2016";"02:11";"      2M"
"angband-3.3.2p1.tgz";"25-Feb-2016";"02:11";"    800K"
"angrydd-1.0.1p6.tgz";"25-Feb-2016";"02:11";"      4M"
"angst-0.4bp1.tgz";"25-Feb-2016";"02:11";"     13K"
"animorph-0.3p1.tgz";"25-Feb-2016";"02:11";"    445K"
"anjuta-3.18.2.tgz";"25-Feb-2016";"02:11";"      9M"
"anki-2.0.20.tgz";"25-Feb-2016";"02:11";"      3M"
"anonymous-pro-1.002p2.tgz";"25-Feb-2016";"02:11";"    282K"
"ansible-2.0.0.2.tgz";"25-Feb-2016";"02:11";"      3M"
"ansilove-3.0.2.tgz";"25-Feb-2016";"02:11";"     33K"
"ansiweather-1.07.tgz";"25-Feb-2016";"02:11";7054
